# AS142108:AS-ROTKONETWORKS, 160.22.180.0/23, 2401:A860::/32
# https://datatracker.ietf.org/doc/rfc8805/
# network, iso_country code, iso_region_code, city_name, postal_code
# ANYCAST ipv4
160.22.180.0/24,TH,TH-10,Bangkok,10240
# ANYCAST ipv6
2401:A860::/48,TH,TH-10,Bangkok,10240
# UNICAST
160.22.181.0/24,TH,TH-10,Bangkok,10240
2401:A860:1::/48,TH,TH-10,Bangkok,10240
2401:A860:cafe::/48,TH,TH-10,Bangkok,10240
2401:A860:2:1::/64,TH,TH-10,Bangkok,10240
2401:A860:2:2::/64,TH,TH-10,Bangkok,10240
2401:A860:2:3::/64,TH,TH-10,Bangkok,10240
2401:A860:2:4::/64,TH,TH-10,Bangkok,10240
2401:A860:2:5::/64,TH,TH-10,Bangkok,10240
2401:A860:2:6::/64,TH,TH-10,Bangkok,10240
2401:A860:2:7::/64,TH,TH-10,Bangkok,10240
2401:A860:2:8::/64,TH,TH-10,Bangkok,10240
2401:A860:2:9::/64,TH,TH-10,Bangkok,10240
2401:A860:2:A::/64,TH,TH-10,Bangkok,10240
2401:A860:2:B::/64,TH,TH-10,Bangkok,10240
2401:A860:2:C::/64,TH,TH-10,Bangkok,10240
2401:A860:2:D::/64,TH,TH-10,Bangkok,10240
2401:A860:2:E::/64,TH,TH-10,Bangkok,10240
2401:A860:2:F::/64,TH,TH-10,Bangkok,10240
